Geneid	Samtools sort on 309(S)
100287102	0
653635	97
102466751	1
100302278	0
645520	0
79501	0
729737	52
102725121	2
102723897	72
102465909	0
729759	0
100132287	2
105378947	0
101928626	0
102465432	14
81399	0
100133331	41
100288069	35
400728	8
79854	7
643837	228
284593	1
100130417	5
148398	16
26155	1894
339451	144
84069	142
84808	48
57801	696
9636	530
375790	9775
105369174	13
105378948	41
401934	65
54991	284
254099	12
406984	6
406983	17
554210	22
254173	10
8784	44
7293	119
51150	3561
126792	854
388581	11
118424	1170
6339	48
116983	991
102465434	0
126789	379
54973	1422
102465435	0
80772	780
83756	129
1855	1929
102466740	0
54587	3372
54998	1515
81669	1954
148413	508
55052	1584
441869	34
643965	11
102724312	92
64856	4507
219293	345
83858	345
55210	602
339453	11
29101	2337
643988	320
142678	747
8510	19
984	693
728661	3830
8511	0
728642	322
9906	645
65220	1294
2782	10593
105378949	9
163688	17
339456	11
85452	11
2563	88
5590	526
100506504	38
199990	810
105378592	6
6497	2060
105378594	8
79906	238
100129534	32
11079	2522
5192	435
9651	56
55229	3
388585	0
115110	4
8764	3
100996583	0
127281	6
79258	5
100287898	1
140625	0
440556	9
63976	30
100422968	0
27237	484
1953	411
693135	0
127262	1258
49856	376
7161	70
57212	807
148870	2
388588	87
57470	1399
9731	1297
1677	122
339448	321
100133612	2
728716	0
284661	0
55966	37
100616489	0
100616421	0
261734	314
8514	414
26038	1
6146	9705
102724450	12
388591	181
23463	3431
148645	1
390992	0
387509	211
11332	730
54626	117
83715	861
100422975	0
8718	95
57449	373
79707	477
80835	4
3104	349
9903	1434
148479	705
90326	249
55735	634
100505887	0
23261	372
9341	2280
8863	817
10911	40
3604	17
11315	3875
54206	1576
102724539	0
50651	92
473	2978
102724552	2
2023	12018
102465436	0
100505975	2
765	1
155184	0
6518	114
80045	145
407040	0
9563	1989
80176	587
100506022	31
84275	333
199953	298
5293	333
644997	0
101929074	11
22883	5195
56998	964
84328	533
64802	370
100847055	0
105376719	1
116362	64
10277	1266
23095	1354
100422970	0
5226	1837
100526739	2
378708	34
1325	10
1676	764
5195	332
54897	1534
148345	8
23435	3013
10747	54
6723	956
5394	1041
2475	1788
100873935	0
10218	0
29914	523
57540	4
101929181	0
26232	336
93611	500
26270	280
10459	340
374946	1
57085	714
284498	5
102724659	0
4524	823
1185	295
100379251	4
4878	4
4879	0
26829	2
90231	1669
5351	2688
9927	2700
60672	261
102466982	0
943	19
102465836	0
7133	804
100616438	0
55187	2260
677885	1
9249	245
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	5
10630	620
7799	1458
23254	409
200197	11
55092	243
727684	0
114827	73
101927417	6
79180	1136
11330	0
63036	1
51032	2
842	229
23341	1030
79814	56
84301	492
6248	304
23207	1218
284723	28
388595	0
54751	1090
440567	47
729614	52
23013	2571
7709	382
101928566	0
149563	1379
27129	18
1187	8
1188	8
348487	3
1969	395
128272	666
101927546	4
79363	138
54455	762
26099	3614
374955	0
55707	1249
114819	107
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	287
84809	265
11209	59
26869	0
729574	0
100126533	0
284729	3
100189045	0
102723383	0
6060	0
11223	13
100500876	0
100189298	0
7193	0
791226	0
9696	620
26870	0
4237	774
23400	1933
6390	1009
11240	94
29943	6
51702	0
100616188	0
23569	2
353238	1
55920	3259
55160	1029
81569	3
101927876	0
84966	120
127707	323
5081	0
80834	0
8659	542
100616120	0
100302276	0
126917	559
23352	3973
23065	1718
51154	868
246181	37
22977	1084
100506730	194
8574	2348
54896	397
832	5018
100532736	0
440574	1513
644068	13
4681	90
3362	1
255104	424
54546	0
23252	471
30814	0
5320	2
5322	135
26279	7
64600	6
391013	3
127733	830
101928017	44
127731	26
339505	1
55450	763
79594	674
163933	19
978	72
65018	749
102464833	0
100861548	147
1650	4610
57576	24
400745	20
50809	9633
8672	2560
100302155	0
1889	3564
100506801	2
84224	290
249	152
5909	159
84196	1583
401944	18
3339	6443
23436	0
10136	0
101928043	4
29092	139
998	6692
54361	68
100616433	0
9923	928
2046	0
102466615	0
712	2710
714	3297
713	3641
2048	226
100616391	0
100422914	0
646262	0
729059	0
23028	2219
100422866	0
100616177	0
7798	1294
3352	2
100996511	101
10236	4163
80818	793
148898	39
6920	1868
55616	840
1870	113
101928163	0
3399	833
259283	0
6135	12703
6924	1166
100506963	9
57095	1446
11313	1175
2582	697
3155	834
2517	1776
1269	0
100616492	0
55629	4982
10772	2581
127294	53
58985	56
163702	64
284632	0
57822	67
90529	171
57185	1541
100750325	3
11123	482
100506985	129
400746	2
10250	1676
25932	6090
864	175
102465437	0
100616365	0
25949	1192
57035	772
6007	0
23585	1446
6006	17
55219	858
26119	823
57134	306
57190	4540
56181	703
646471	66
79000	49
164091	355
3925	1631
100500808	0
5051	619
2134	113
7780	14
105376910	0
84676	2
149420	698
79927	68
105376887	1
51042	189
10256	340
378807	1
101928303	0
64793	518
83442	2110
91544	398
1043	131
55057	94
257101	11
79727	0
79947	714
101928324	4
3151	4823
6195	1097
100302190	0
101928728	33
8289	3516
55650	457
84243	514
2810	783
54707	308
63906	252
10726	1907
8431	0
126695	305
388610	145
115572	530
6548	1470
23038	1883
84065	809
644961	27
100887744	0
84958	831
9064	731
8547	27
388611	25
2827	20
10163	4674
27245	1194
2268	164
2537	1341
199870	248
23673	1464
5511	1033
677774	1
9473	353
6118	836
27293	364
55113	294
2140	748
5724	710
22826	1389
93974	2018
83667	549
54797	289
65979	939
1104	960
8420	239
6080	15
26768	6
54952	254
85028	144
692212	7
677838	16
677825	12
692073	16
115273	67
6883	355
26824	1
10691	233
105376911	2
51441	2175
4985	0
2035	2074
399474	126
6429	1564
51102	305
10076	834
101928460	0
101929406	0
4146	0
100129196	9
7805	4928
100616164	0
400748	0
9672	1958
9698	2417
692234	2
692235	0
692200	0
79570	1684
9410	836
51538	751
2170	118
347735	3264
149086	7
284551	2
64129	312
3061	0
553115	1108
1307	1301
576	349
100423028	0
90853	64
8073	7123
10657	3290
55116	188
100847018	0
23633	2060
200081	2344
79140	86
56063	196
55721	100
149069	18
8668	3207
339483	123
84734	95
3932	66
3065	3232
65108	3081
100128071	18
81629	40
55108	2359
728116	1
653121	314
339487	297
5928	3090
81493	197
57648	6042
8565	1480
64766	533
252995	12
3208	1
113452	1192
127544	668
204	2562
113451	120
55223	300
149076	661
127550	2
1912	1976
100500853	1
101929464	0
7579	308
114784	163
127540	0
402779	0
84970	1
693137	0
2709	47
127534	49
2707	74
2701	382
113444	571
58512	7
653160	66
100506144	393
9204	499
79830	451
6421	4539
9202	2125
79932	3998
23154	955
339488	60
5690	1667
127703	547
63967	148
192670	899
26523	926
192669	482
27285	19
54936	762
1296	2569
27095	1016
55700	2061
9967	3378
79729	334
55194	1152
83931	1229
84967	323
127700	245
64960	783
1441	352
2899	83
100422898	0
728431	97
80149	300
102465438	1
64769	2065
100847010	13
79753	475
7802	861
29889	978
284654	25
54955	628
55143	169
284656	295
149175	664
79693	341
127687	977
4520	678
3633	583
10946	1358
2275	440
51118	692
5453	103
100500801	0
339442	0
64121	697
100527950	2
26292	0
81025	0
54933	74
79647	1692
4725	1417
23499	15422
643314	241
105378950	0
353500	295
728448	64
8761	2161
101929516	3
677834	6
26508	470
84618	0
51440	0
10450	656
656	65
64064	3
105378951	0
101929536	1
54802	362
4610	159
84879	101
10487	7505
5538	5957
6018	740
127391	0
10269	2361
1298	142
64744	1307
65243	62
339559	107
64789	246
127396	87
9783	205
100130557	31
4802	869
407034	0
407031	0
9132	21
163732	1308
1503	616
100507178	19
200172	6
22955	767
100132074	108
1907	9
59269	740
2981	0
2980	0
22887	1918
284716	254
84217	99
79717	1554
728621	88
10465	378
4904	6565
149461	0
64175	982
79078	144
100129924	3
374969	120
114625	473
51058	174
339539	0
6513	3132
440584	32
105378684	3
440585	44
10969	1418
102465439	2
149465	57
128218	463
149466	257
7075	699
4352	9
991	192
64834	1560
102466723	0
112950	549
23334	1095
102465440	0
81888	0
5792	13362
9682	1569
100132774	13
6487	225
101929592	0
102464830	0
9048	78
9670	777
1802	536
533	3169
8704	1130
149473	305
6536	182
128209	4
105378952	0
55929	382
79033	1018
100874278	13
55182	1139
100847089	0
79639	61
339541	6
26828	0
26830	0
11004	154
6202	18014
26811	28
94161	2
94162	4
94163	7
266675	4
1263	249
343521	16
149478	94
8643	21
8891	308
79654	902
7389	597
57643	130
400752	8
84842	3
4595	147
114034	128
10420	182
126661	33
25974	106
5052	7318
10327	2144
4678	1040
149483	20
60313	3030
728963	2
51249	691
3652	520
23139	1341
8503	2866
101929626	9
10103	353
55624	2111
541468	10
8438	124
10489	2243
7388	1914
387338	683
2166	494
729041	3
101929651	0
127343	0
100507423	7
148930	0
8569	447
148932	438
64756	1291
374973	1
100130197	5
9813	5132
1580	561
163720	17
1579	0
260293	175
199974	2
284541	0
100874253	8
10158	156
6886	81
6491	219
51727	3742
102724077	10
2301	4
84793	29
2306	80
388630	25
391037	4
200010	5
54558	311
84871	1
79656	19
101929721	0
100874313	0
1996	6
63950	1
11124	1014
1031	547
100616189	0
102466656	0
284546	0
26994	3596
22996	7997
102724097	20
2060	2205
114883	1928
4898	3095
100313892	0
5865	89
51060	1190
112970	0
104355143	0
91408	1619
9372	748
200014	647
4998	50
84950	726
23318	697
105378722	0
2882	153
348378	5
65260	226
79699	1043
440590	38
55268	1122
6342	3633
100616156	0
100616458	0
100616145	0
127435	1507
6512	9
1376	867
54987	568
4116	495
100507564	20
7804	209
163742	0
63948	0
148979	27
105369175	2
55706	1333
54432	948
1733	44
51668	386
115353	547
388633	12
9528	7072
127428	292
100616315	1
200008	0
606495	153
51253	1312
23648	392
619518	5
26027	27
338094	1
374977	0
100527960	0
7268	12
25973	152
55001	113
163747	1
1718	25841
100126514	0
199964	23
7809	0
255738	28
23358	1966
100507634	4
100616272	0
8613	1202
5563	984
199920	251
731	0
732	0
1600	23
101926890	0
115209	554
4070	7839
114803	1145
3725	1459
100131060	5
101926925	6
729467	0
55277	209
100616409	0
101926944	0
51361	1380
1573	102
127795	0
101926964	0
100996570	9
4774	1958
645030	0
414927	0
83941	1596
10207	7405
100422902	0
100422946	0
54596	12
163782	93
7398	1196
85440	938
27329	0
84938	319
199899	2
100996301	0
27022	0
102464823	0
29929	319
23421	215
84455	127
79469	8
5236	1136
4919	177
101927034	8
148581	0
57685	81
100616338	0
55225	295
3716	6934
101927084	3
105378775	4
100500854	1
406893	0
205	1409
9829	280
54741	3162
3953	370
5142	169
101927139	0
84251	262
100422871	1
200132	37
10022	0
79819	172
57708	1160
23169	720
400757	0
149233	2
3595	7
26135	6068
1647	341
55970	3304
100289178	14
9077	28
79971	523
100302279	0
6121	4
55635	154
101927220	1
57554	11
5301	0
55631	370
9295	3400
81573	700
11147	88
1491	117
101927244	8
5733	277
100132618	50
9406	1764
406962	28
100852410	4
257194	375
100852409	0
101927295	0
127255	25
100526835	1
8790	616
51086	0
105378804	0
105378803	0
127254	38
101927320	0
1429	984
127253	674
431707	5
204962	271
34	1386
1744	11
5876	933
692085	2
26805	19
26804	7
4438	2
127247	0
101927342	0
256435	48
81849	167
102466995	0
10026	959
26289	96
26009	1272
23032	2280
374986	1191
374987	4
91624	472
8880	1883
11080	457
54810	46
149047	0
5737	61
10964	402
10561	545
64123	818
101927412	0
23266	635
101927434	0
101927498	0
101927587	3
101927560	0
79739	126
5567	3919
148418	99
391051	0
58511	20
80135	877
2787	1854
100505741	21
1486	943
103695366	3
439927	0
117178	933
23566	11
255231	26
55283	11
126820	9
100616481	0
84144	440
148423	343
8915	414
646626	1
23576	1620
3491	2178
54680	784
255631	143
57489	722
102465842	0
9635	156
1179	0
22802	41
9629	0
105378828	21
51100	3023
9403	3676
9653	1214
339524	13
101927844	0
105378832	0
8543	860
100505768	0
101927891	1
5586	1619
2959	554
56267	587
494115	755
2635	1455
2633	744
2634	1005
388646	2
115361	470
115362	283
729930	0
163351	7
400759	10
23507	844
84230	478
400761	11
55144	852
105378846	1
492303	25
284695	589
343472	0
84146	1472
164045	3
8317	181
7049	935
676	0
253152	21
646817	4
284697	29
23285	132
388649	0
11146	131
79871	310
2672	16
7813	475
6125	14517
388650	277
6083	0
26782	3
22823	632
50999	2311
343099	124
100131564	208
1810	1139
54874	2965
100126520	3
8412	803
100129046	4
100126348	1
100189133	1
30836	920
2730	913
24	132
9411	1910
5825	3104
2152	332
101928079	68
100616321	0
126969	253
1266	3615
105378862	9
729970	99
199857	218
101928098	0
148534	158
100527978	16
101928118	4
25950	170
440594	0
100996635	0
102723661	0
101928241	0
58155	238
1806	492
100873932	0
100873933	0
400765	0
100616452	0
406928	0
729987	0
51375	507
163404	1
100129620	0
9890	125
101928270	0
54873	255
391059	113
178	983
23443	1825
64645	1733
163786	156
54482	413
127495	28
1629	956
100506007	21
8634	1033
693138	1
8556	242
54112	8
100128787	0
7412	1682
2135	376
148867	940
51611	348
102606465	54
101928334	11
101928370	16
1901	625
104355286	2
118427	1
94236	0
1301	17575
101928436	0
55599	116
280	46
648740	2
279	0
276	0
277	0
278	0
100129138	0
101928476	0
55170	293
22854	1
10451	3466
102465839	0
100873946	1
29957	1980
148545	7
653149	3
284611	961
113802	145
55119	1009
163479	1
6814	986
254268	1
642864	0
29899	282
23155	816
22911	655
6884	444
56900	2103
677766	6
127003	15
57535	3983
6301	3120
1952	9217
84722	152
343263	1
6272	4308
5686	1746
284612	10
127002	68
284613	587
57463	354
83873	2
2773	2003
406974	0
2780	22
271	776
2948	546
2946	556
2944	960
2949	18
2947	2885
79574	0
1435	1323
10768	5733
85369	834
257	54
104355139	2
164153	0
388662	40
100873974	1
3749	155
440600	2
64783	281
9122	181
10542	1268
101410535	6
84432	0
643160	0
440602	0
3744	0
3737	4
3738	66
963	854
55791	454
128338	970
10390	695
79961	1132
1117	14
149620	0
27159	0
128344	127
441897	1
5016	46
79084	675
515	2814
128346	225
57413	86
140	197
100129269	8
5906	1606
55924	203
100506343	3
101928718	0
11218	575
3752	200
100874295	0
100873995	0
643355	20
55917	793
100422976	1
7482	54
54879	264
829	3009
4343	841
389	3655
333926	76
284467	3
100996702	2
6566	289
246182	1
100506392	4
100996251	3
9860	289
643441	0
260425	1869
10745	403
54665	802
100287722	3
26191	101
440603	5
10717	203
64858	258
101928846	4
204851	2452
56944	1201
148281	7
51592	1845
10286	757
163259	68
270	0
4893	1869
7812	14269
80143	1065
6847	0
7252	0
10100	139
4803	18
81839	1461
845	32
4808	3
101928995	0
101928977	0
55356	176
126868	9
476	8070
84852	112
101929023	0
965	141
100616384	0
3321	598
100302117	0
388667	0
914	103
5738	1698
9398	29
101929099	5
8458	406
100126331	0
80263	219
79679	90
104355292	0
10905	2196
100996263	0
54855	841
54834	397
10885	1176
200162	74
6913	128
10352	287
104472716	0
101929147	106
51179	0
100874270	0
3284	0
3283	0
128102	1
644242	16
90874	180
26227	140
3158	3
83998	0
343505	0
11085	1
4853	5040
9554	2418
105378954	6
728841	334
767846	26
100996724	177
101929796	45
101060684	243
100189005	0
101954277	1
653505	0
728855	252
101954264	0
100189257	0
105369199	6
100996721	0
100126488	0
101929798	0
2210	79
100996318	0
337875	21
653820	29
653464	205
100873165	0
647121	12
101929815	0
100189261	0
101954269	0
26863	0
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	3
100189356	0
100132417	57
100996713	3
554282	3
100996712	88
101060524	0
730262	0
101954267	0
100189323	0
284565	520
100189127	0
728945	0
105371215	0
1818	0
645166	10
647135	253
728833	23
101929805	0
102724235	92
103091866	193
645142	0
101954266	9
7214	0
100288142	294
100126510	0
101060254	0
101929780	35
653519	280
5174	1046
11126	19
27246	802
10623	598
200035	36
10401	1224
102466191	1
148741	125
8515	119
8799	924
114814	19
9939	2186
128077	474
84265	326
284615	14
10628	12606
148738	2
100189384	0
100189064	0
100188991	0
100189198	0
101954276	0
101928979	1
100132406	92
388677	229
170688	0
105371242	0
102724558	12
100288805	18
105373468	9
149013	306
728989	0
100189334	0
101447996	0
644861	0
5565	824
171423	487
2330	267
9557	1177
100289211	2
607	808
51205	320
2702	1337
2703	0
51463	73
100034743	2
100189140	0
26864	0
100189193	0
200030	349
101927468	4
100189056	0
100189307	0
100189174	0
100188998	0
100847044	0
101954273	4
102466225	0
26860	0
100132057	23
101954272	0
388685	448
644591	0
25832	416
100996763	329
440672	0
9659	1094
400818	487
653513	68
100996761	18
101060226	313
653598	0
57234	222
644634	1
100189228	0
102723955	4
100189059	0
440689	50
2209	547
101927767	13
653604	4
8370	11
105371405	26
126961	2
8337	87
337873	28
723790	26
333932	5
554313	67
8349	995
8338	8
317772	1
51027	198
9900	44
10262	1126
10903	230
56957	1630
105373477	0
11311	772
51177	665
81611	827
23632	17
51107	3961
79630	152
148523	98
54460	892
9129	639
23248	1023
80222	640
102465529	0
1893	3145
100874054	12
54507	187
105371437	9
100422997	0
574406	3
4170	7809
2029	4764
55204	796
84072	1
1520	2966
1513	5490
405	1205
9869	792
29956	5444
8416	1324
55793	816
58497	906
149428	174
54964	153
56882	2483
10962	85
126626	134
10500	113
100534012	1
79626	121
388695	197
79005	18
29765	11
6944	700
8394	1536
5710	1668
57592	903
5298	1458
5993	1614
8991	880
5692	2464
23126	1860
57530	3540
7286	661
693139	0
81609	1418
11189	2
284485	1
65005	561
51686	54
11022	260
339398	3
6097	711
100191040	39
100132111	60
284486	114
117145	445
6281	3131
441908	1
6282	5304
100131107	0
126637	0
7062	16
126638	0
388697	2
2312	1917
339400	16
388698	3060
49860	2
254910	92
54544	90
353145	2
84648	4
353144	1
353143	0
353142	0
353141	39
353140	115
26239	226
353139	69
199834	1
100129271	280
448834	306
353137	88
353135	24
353134	50
353133	154
353132	121
353131	103
448835	66
4184	0
3713	113
163778	1
6698	0
6707	0
6699	14
6703	6
6700	0
6701	0
6704	103
6705	0
6702	0
6706	47
101928009	0
149018	0
574414	0
4014	1036
114771	17
57115	11
6280	327
6283	2
6279	85
338324	0
645922	0
6278	7
6277	12920
6276	5
6275	2381
101928034	4
6274	24
6273	33
140576	3833
57402	2555
6284	2352
6271	491
26097	1394
23557	523
3608	2751
100189015	0
4881	233
102466879	0
65123	4
11000	3
343052	0
105371448	0
57459	28
9909	973
200186	604
27173	2933
102465441	0
148327	1224
10899	2940
5872	2270
6232	7646
91181	1
100847024	0
7170	6492
100126346	0
388701	0
25912	5117
9898	2966
10456	1137
89872	0
57198	1050
3570	336
126669	252
126668	8
55585	1149
100874097	4
1141	88
103	7233
3782	144
10654	940
57326	2208
90780	1292
101928120	15
6464	2684
1163	346
100423020	3
80308	747
55891	0
51043	1785
127579	19
149095	15
100505666	32
8751	3931
1945	220
1944	250
1942	1445
55974	1134
54344	281
200185	998
80128	153
4582	6879
693235	0
7059	976
4580	270
2630	15
2629	19
10712	0
10067	0
1196	0
57657	0
5313	0
2224	1029
284618	15
23623	864
55870	3034
693140	0
645682	1
645676	30
55154	270
55249	1319
7818	2287
100129405	59
54856	871
23208	453
6016	582
22889	673
677823	1
677771	0
339403	0
9181	1182
102465442	0
105371729	1
6746	2905
56893	1251
28956	808
57111	1445
92312	340
4000	8147
64218	437
9673	658
11243	154
100527963	3
632	1
79957	28
23381	2293
84283	252
112770	937
391104	0
7203	4777
128229	3
