Geneid	Samtools sort on 310(R)
100287102	0
653635	136
102466751	3
100302278	0
645520	0
79501	0
729737	21
102725121	4
102723897	125
102465909	0
729759	0
100132287	4
105378947	0
101928626	3
102465432	6
81399	0
100133331	17
100288069	54
400728	4
79854	24
643837	214
284593	0
100130417	138
148398	309
26155	2739
339451	210
84069	89
84808	41
57801	541
9636	3129
375790	5114
105369174	12
105378948	33
401934	278
54991	383
254099	3
406984	6
406983	2
554210	8
254173	8
8784	52
7293	86
51150	2970
126792	792
388581	4
118424	1155
6339	114
116983	1711
102465434	0
126789	547
54973	1101
102465435	0
80772	834
83756	73
1855	2399
102466740	0
54587	1568
54998	1441
81669	1691
148413	368
55052	1303
441869	52
643965	0
102724312	14
64856	2721
219293	15
83858	377
55210	585
339453	7
29101	1749
643988	502
142678	834
8510	6
984	648
728661	3759
8511	9
728642	353
9906	359
65220	1478
2782	7292
105378949	6
163688	16
339456	34
85452	1
2563	72
5590	366
100506504	14
199990	391
105378592	5
6497	1711
105378594	6
79906	94
100129534	35
11079	2703
5192	346
9651	10
55229	4
388585	0
115110	0
8764	3
100996583	0
127281	4
79258	1
100287898	4
140625	0
440556	6
63976	94
100422968	0
27237	894
1953	547
693135	0
127262	854
49856	344
7161	116
57212	446
148870	2
388588	40
57470	1163
9731	1049
1677	108
339448	303
100133612	9
728716	0
284661	0
55966	17
100616489	0
100616421	0
261734	260
8514	466
26038	73
6146	5293
102724450	8
388591	115
23463	2710
148645	6
390992	0
387509	481
11332	799
54626	38
83715	1148
100422975	0
8718	175
57449	344
79707	470
80835	1
3104	247
9903	1280
148479	791
90326	249
55735	768
100505887	0
23261	355
9341	1536
8863	804
10911	24
3604	63
11315	2959
54206	512
102724539	0
50651	8
473	2114
102724552	1
2023	11807
102465436	0
100505975	2
765	1
155184	0
6518	40
80045	518
407040	4
9563	1447
80176	608
100506022	20
84275	321
199953	333
5293	543
644997	1
101929074	1
22883	3598
56998	433
84328	395
64802	190
100847055	0
105376719	0
116362	214
10277	1418
23095	2289
100422970	0
5226	4141
100526739	0
378708	44
1325	0
1676	484
5195	299
54897	1439
148345	10
23435	3489
10747	43
6723	891
5394	968
2475	1334
100873935	0
10218	0
29914	479
57540	110
101929181	2
26232	205
93611	301
26270	318
10459	337
374946	0
57085	615
284498	20
102724659	3
4524	801
1185	214
100379251	0
4878	6
4879	0
26829	0
90231	1644
5351	1443
9927	2045
60672	357
102466982	0
943	21
102465836	0
7133	1028
100616438	0
55187	2177
677885	2
9249	696
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
